"","PC1","PC2","PC3","PC4","PC5"
"14307","Cd200r2","Nup43","Lyrm9","Zc3h12b","Kcnab3"
"14308","Supt5","Zfp35","Efcab9","Tti1","C78339"
"14309","Ndc1","Cutal","Ndrg2","Fam83h","Tmem82"
"14310","Mettl21a","Raph1","BC055324","Cep68","Tdrd9"
"14311","Gucy1b2","Ctr9","S100a13","Gyg","Skiv2l"
"14312","Apex2","Grwd1","Brap","Tmem177","Tcea1"
"14313","Rab36","Coq5","Acox2","Sgcg","Ephx3"
"14314","Ifnz","Tmprss11bnl","Klhl8","Dnah6","Mpp2"
"14315","Slc45a2","Rims3","Arfip1","Il1rapl1","Rqcd1"
"14316","Wdr86","Bcl7a","Krtap31-1","Ifitm6","Mrgprx1"
"14317","Cyp4a31","Mroh2a","Canx","Slc28a3","Slc25a39"
"14318","Arhgdig","Pmaip1","Pdgfd","Hyal2","Rcan3"
"14319","2210408I21Rik","F9","Irg1","Nfs1","Fcer2a"
"14320","BC053749","Sidt2","Lix1","Fkbp10","A130010J15Rik"
"14321","Lipn","Golim4","Mapt","Hsp90b1","Sash3"
"14322","Fam45a","Zc3h4","Dcaf15","Phex","Ier2"
"14323","Arid3a","Zfp944","Arhgap20","Slco1a5","Dyx1c1"
"14324","Gm6034","Trim35","Ckap2l","Cadm2","Proca1"
"14325","Chrm2","Uox","Cnih1","Ttc30a1","Ly75"
"14326","Aldh8a1","Eci1","Slc15a4","Cd19","Ganc"
"14327","Brk1","Slc9a8","Gm6034","Gnl3","Vmn2r29"
"14328","Nap1l2","Ighv6-4","Hpdl","Plaur","Trim16"
"14329","Gm609","Awat1","Gle1","Pde7a","Stk11"
"14330","Arnt2","Lrrc7","Atr","D6Ertd527e","Ghitm"
"14331","Cenpa","Mia2","Psmd12","Il17b","Sult1d1"
"14332","Dtd2","Mybl1","Plod3","Tmprss6","Akr1c13"
"14333","Them4","Tra2b","Nck2","Prg2","2410004P03Rik"
"14334","Pctp","Krtap21-1","Sdc4","Aqp4","Gm4980"
"14335","Gdf5","Prm3","Map7d1","Cd209d","Usp2"
"14336","Ptrhd1","Trim43c","Unc79","Tmem44","Krtap5-4"
"14337","Tmem30a","Dgkk","Itgax","Ciita","March2_x"
"14338","Rad54b","Lancl3","Fam110b","Map7","Kprp"
"14339","Hint1","Tango2","Ergic2","Peli3","Srf"
"14340","Ythdc1","Exoc8","Trub1","Gm11711","Evl"
"14341","F8a","Ttc13","Mrpl21","Kcnip1","Gm3646"
"14342","Sssca1","Muc4","Slc40a1","4833439L19Rik","Ccdc42"
"14343","Spint3","Krt42","Gm3500","Tarm1","Tnfsf11"
"14344","Aacs","Map3k11","Plec","Scap","Gbp3"
"14345","Bach2","Dcc","Ifnz","Ppp2r5c","Bre"
"14346","H60b","Slc23a3","Ikzf3","Sac3d1","Ubfd1"
"14347","Rfx8","Slc25a2","Car3","Sh3gl2","Ints7"
"14348","Igfbp7","Gpr162","Ccdc163","Zfp748","Kbtbd13"
"14349","Dmp1","Acn9","Tnnt2","Fez2","Smek1"
"14350","Hist1h2ak","Fbxl6","Slc33a1","Fcer1g","Pou3f3"
"14351","Acsm1","Dnajc15","Larp6","Spg7","Pcsk4"
"14352","Vwa9","Nbr1","Gabarapl1","Aqp8","Pdrg1"
"14353","Safb2","BC100451","Slc41a1","Klf9","Snap23"
"14354","Olfm1","Sirt3","Nop14","Dars","Nqo2"
"14355","BC030476","Lmo3","Khdrbs3","Trank1","Meox1"
"14356","Avpr1b","Sertad2","Nfkbia","Atxn7l3b","Dapl1"
"14357","Myo1h","Hlcs","Sin3b","Gbp3","Krt75"
"14358","Gins1","C87414","Podnl1","Tmem38b","Sprr2k"
"14359","Pld1","Sema3f","Ero1l","Ccdc28b","Zbtb37"
"14360","Tlr2","Hiatl1","D630023F18Rik","Rhod","Adamts13"
"14361","Mcur1","Sim1","Mycbpap","Fam220a","Wfs1"
"14362","Rnaset2a","Mamdc4","Zfp169","Cystm1","Ppp1r14c"
"14363","Fbxo48","S100pbp","Fgg","Adamts13","Neil1"
"14364","Asb7","Med20","Abcb9","Gtf2a1","Iws1"
"14365","Cpa3","Fam109a","Psrc1","Prokr1","Gabrd"
"14366","Bcl2l12","Tex38","Ly6a","Slc29a3","Dpy19l4"
"14367","Pdcd11","Zfp9","Grb7","Bre","Rab15"
"14368","2610034M16Rik","Slc45a4","Sap30","Cldn11","Rabgap1"
"14369","1700007G11Rik","Hsf2bp","Pparg","Susd1","Armc4"
"14370","Med16","Taf7","Smim6","Tbc1d20","Tsnax"
"14371","1700123I01Rik","Adhfe1","Slc5a3","Fgf22","Nfic"
"14372","Pou6f2","Atox1","Nup43","Pcp4l1","Gpcpd1"
"14373","Fam101a","Erbb2ip","Lrrn4","Camk1g","Apol9a"
"14374","Serpinb6d","Irgc1","Sit1","Atp5e","Ppef1"
"14375","Sart1","Tmem222","Serpinb1c","Vmn2r26","Fabp4"
"14376","Gtf2h4","Zfp397","Gpr68","Kcnt1","Ces4a"
"14377","Slc12a1","Exoc1","Lingo3","Ceacam10","Ppp2r5a"
"14378","Pcdhb13","Dlg2","Qtrt1","Clnk","Zfp938"
"14379","Car5a","Abcb1a","Serpinb9b","Atp8a1","Gtf2h1"
"14380","Ccnt2","Tspan11","Ube2h","Trpv1","Gja3"
"14381","2310044G17Rik","3110057O12Rik","Spata7","Sst","Gkn3"
"14382","Mrpl21","Cd300lh","Tmem72","Cox4i1","Aspg"
"14383","Ubxn4","Slc25a13","Acer3","Immt","Zfp553"
"14384","Catsper4","Cacna2d4","Nit2","Eno1","Jmjd1c"
"14385","Cplx1","Pdcd10","Hepacam2","Sucnr1","Mocs1"
"14386","Fabp12","Adamtsl2","Rxfp3","Trmt13","Gnmt"
"14387","Coil","Slurp1","Evi2a","Gtpbp8","Ccr10"
"14388","Pot1a","Dlx2","Ccr1","Skiv2l","Mzb1"
"14389","Vipr2","4933427D14Rik","Plscr4","P2rx7","Dock3"
"14390","Psmb5","Fgf21","Zfp708","Dnajc22","Map10"
"14391","Pde11a","Rgs8","Lin54","Ssx2ip","P4ha1"
"14392","Snap47","Stam2","Ubp1","Tceal5","Nim1"
"14393","Tnfsf9","Tslp","Shroom1","Slc25a15","D130040H23Rik"
"14394","AW551984","Sprr1b","Ang","Klra6","Foxf2"
"14395","Tnfaip3","Vhl","Mib2","Creb3l4","Nedd4"
"14396","Gm13305","Zfp62","Sfmbt2","Rd3","Ms4a2"
"14397","Zfp811","Nol6","Rnf214","Adcy10","Schip1"
"14398","Scaf1","Gm8298","Tnks","Lce6a","Vmn2r5"
"14399","Csf1","Anxa9","2010109A12Rik","Fam25c","Kcnj11"
"14400","2310030G06Rik","Grin2a","Dcx","Gatm","Bhlha9"
"14401","Zfp941","Med6","Mesdc2","Chtop","Srebf2"
"14402","Eif2b1","Trip6","Alox5","Rsl24d1","Slc9a8"
"14403","Ppp1r3b","Adcy9","Xrcc3","Hapln4","Agpat9"
"14404","Morn2","Psg23","H2-Eb2","Smagp","Zfp384"
"14405","Abcg5","Tgfb2","Aph1c","Wdr62","Kif16b"
"14406","Elfn1","Nhlh2","Taok3","Trex2","Pkp1"
"14407","Alx4","Ier5","AW209491","Lgals1","Tbc1d9b"
"14408","Tbck","Gm2897","Hsd17b1","Gal3st1","Pcdha2"
"14409","Rbm19","Ddx26b","Mia","Bivm","Tbc1d22a"
"14410","Batf3","Egfem1","Mtmr7","Il21r","Sptlc1"
"14411","Ppp1r37","Scamp4","Hic2","Dach2","Pabpc4"
"14412","Zbtb21","Grik2","Gmpr2","Iba57","Dcaf15"
"14413","Abhd5","Ttc39b","Zfp770","Smpdl3b","Cysltr2"
"14414","Gpx7","Slc12a1","Slc39a11","Cd207","Zfp85-rs1"
"14415","Gm4791","Trmt1l","Ccno","Bik","Esr1"
"14416","Atxn7l2","Fcamr","Tdrd6","Gtsf1l","Rpgrip1l"
"14417","Ctcfl","AI593442","Nucb2","Tmem19","Acox1"
"14418","Cdr1","Cpa6","Nos3","Zfp868","Hspb1"
"14419","Fgf6","Krt1","Cdk11b","Sim2","Slc7a7"
"14420","Trim45","Kif13b","Rufy1","Asb2","Drd4"
"14421","Ntf5","Fosl1","Rnf144a","Zc3hc1","Wscd2"
"14422","Zfp455","Pfkfb4","Sema7a","Fkbp7","Ncaph2"
"14423","Ccdc15","Lpin3","Sertad4","Rap2b","1-Sep"
"14424","Sfmbt1","Ctsa","Mob1a","Tlcd2","Luzp1"
"14425","Kmt2a","Cyr61","Zfp689","Fbxw4","Ccdc138"
"14426","Trh","Stag1","Scyl2","Itga8","Med14"
"14427","Muc5ac","2310022B05Rik","Msi2","Ldhb","Styx"
"14428","Zfp148","BC049715","Prss36","Zfp37","Optn"
"14429","Foxi3","Aasdhppt","Zfp36l1","Plekho2","Ndufs1"
"14430","Serpinf1","Il24","Clk2","Magix","Zbtb42"
"14431","Slc6a1","Hnrnpab","Btf3l4","Cox8b","Gm8300"
"14432","Tmed5","Fam163b","Utp6","2410002F23Rik","BC030476"
"14433","Krt26","Ppfia1","Snx2","Ptov1","Sh3pxd2b"
"14434","Psmb4","Serpinb3b","Celf5","Cdkn2aipnl","Simc1"
"14435","Morc3","Chp1","Acot10","Cnot8","Rpp21"
"14436","Cck","Tmem254a","Cabyr","Crb2","Asb12"
"14437","Gm5622","Tmem254b","Vkorc1","Fcrls","Zbtb9"
"14438","Gm11711","Cd34","Atg5","Fndc3a","Fermt1"
"14439","Fam189a1","Gm4297","Epm2a","Srebf2","Arl14epl"
"14440","Zfp287","Slc6a14","Dlx2","Cma1","Echdc2"
"14441","Mos","Ccdc101","Zan","Polrmt","Coil"
"14442","Taf8","4930451C15Rik","Ifi35","Asb5","Car3"
"14443","Krt18","Lcorl","Fam129c","Me3","Nmnat1"
"14444","Prr13","Abhd12","Sel1l3","Prpf4b","Zfpl1"
"14445","Snx17","Hoxd3","Epgn","Coq7","Slc37a1"
"14446","Cyp7a1","Aak1","Lzic","Krt77","Rnf115"
"14447","Mynn","Kcnj3","Kcne1","Slc39a6","Ppp1r12a"
"14448","Serinc4","Rimbp3","Prg3","Slurp1","Pyhin1"
"14449","1700029F12Rik","Gm21119","Plcg2","Phactr1","Zfp13"
"14450","Tulp3","Phf19","0610011F06Rik","Slc8a1","Tubb2a"
"14451","Magee1","Apitd1","Lipo1","Stk40","Zkscan8"
"14452","Prr7","Trpm3","Htra2","Mtfr2","Cnksr2"
"14453","Fgf23","Isoc2a","Plk1s1","Vsig2","9830107B12Rik"
"14454","Adora1","Zbtbd6","Mrgbp","Abcb10","Elp2"
"14455","Iqck","Pmm1","Eya1","Ndufs4","Cyba"
"14456","Pigc","Ctnnbip1","Mr1","Mup18","Nek1"
"14457","Asgr1","Zfp536","Skap2","Sdhd","Peli3"
"14458","Ifnar1","Ticam1","Rpp38","Klf4","Ffar1"
"14459","Hcn4","Ift74","Sec23a","Fbxo5","Actg1"
"14460","Akap14","Fam71f2","Sae1","Jagn1","Brix1"
"14461","Nudt1","1100001G20Rik","Pip5k1c","Wash","Reps2"
"14462","Sf1","Sin3b","Espn","Ucn2","Pkig"
"14463","Scn9a","Kctd11","Col4a1","Trpv6","Clip2"
"14464","Ptchd3","1810065E05Rik","Tnfrsf13c","Plekhg2","B4galt4"
"14465","Rab33b","Hist2h2ac","Ppp1r3a","AI464131","Pcbd2"
"14466","Zkscan14","Fam115e","Prdx4","Gapdhs","Trit1"
"14467","Gm19345","Defb42","Fam50a","Nepn","Magix"
"14468","Rab35","Gm7325","Rtel1","Zranb3","Mlxipl"
"14469","Ccr9","Dclre1a","Polr3gl","Trim15","Akna"
"14470","Nat8l","Papd7","Sh3bp5l","H6pd","Pithd1"
"14471","Ddx11","Zfp84","Rpap2","Angpt2","Zswim7"
"14472","Syt13","Psd3","Mllt10","Noxred1","Pde4dip"
"14473","Bre","Bbs5","Nol6","Acsm5","Tceal6"
"14474","C130060K24Rik","Oprd1","Sstr1","Ctu2","Neurl1a"
"14475","Nat8","Lipn","Gpr114","Bnc2","Trim65"
"14476","Add1","Apol7b","Ndc80","Cd209b","Hspbap1"
"14477","Mtl5","Ghr","Hook1","Kif9","Npm2"
"14478","Bub1","Fbxl13","Fbxl6","Anapc2","Tvp23b"
"14479","Dio1","Mt4","Rilpl1","Myoz1","Ptges2"
"14480","Pyroxd2","Alx1","Tango2","Ccdc87","2410016O06Rik"
"14481","Nupr1l","Pold3","Gmcl1","Aup1","Blcap"
"14482","Polr2f","Raver2","Rtn4rl2","Zfp940","Mall"
"14483","Fkbp1b","Sp3","Fam171a2","Sh2d1a","Hes2"
"14484","Glis3","Kndc1","Neurl1b","G3bp2","Efcab1"
"14485","Emc3","Lss","H2-DMb2","Ptpro","Tmem161a"
"14486","Sh2d1b2","Cetn3","Tm9sf4","Atp1b2","Tnmd"
"14487","Pcsk9","Ggt6","Man2a2","Slc8b1","Il5"
"14488","Alkbh8","Catsperg2","Scoc","Cml1","Scp2"
"14489","Otud1","Ppap2c","St14","Ring1","Myt1"
"14490","Cwc27","Gm14124","Fhl3","Zfp280d","Zbtb44"
"14491","Osbp2","Gmfb","Cd3e","Slc5a10","Clec14a"
"14492","Tnfsf13b","Plscr4","Rsf1","Cpsf4","Creb5"
"14493","Mlst8","Them5","Dyrk2","Got2","Pnma1"
"14494","Pamr1","Crnn","Recql","Ndufa12","Serpinb3b"
"14495","Ptpn4","Vps41","Rab2b","Anxa2","Sec23a"
"14496","Ndnl2","Zfp711","Jmy","Cdhr1","Lrig2"
"14497","Fancl","Ptprn2","Ccdc63","Glis1","Prc1"
"14498","Elovl2","Smarca1","Pnpla7","Yme1l1","Ap3b1"
"14499","Raly","Hmg20b","Mynn","Spa17","Anxa7"
"14500","Pou4f1","Gatad2a","Desi2","Peg10","Cxcr3"
"14501","Prmt10","Prss42","Rab11fip4","Siglece","Pf4"
"14502","Ugt1a2","Flii","Pdpr","Nfe2","Mal"
"14503","Syce1l","Plscr3","Hivep2","Manbal","Ank1"
"14504","Tmem121","Gskip","Fam160a2","Avpr1a","Adh7"
"14505","Fubp1","Rbbp4","Haus6","Ncln","Hdhd3"
"14506","Il12b","Rnaseh1","Slc30a10","Tbc1d19","Peg3"
"14507","Tmem42","Mdm4","Kdm4a","Gnat1","Il6"
"14508","Tnmd","Sco1","Topors","Erlin1","Lmo3"
"14509","Prss12","Gm20939","Reep2","Epg5","Nvl"
"14510","Gpr149","Fam118b","Spin2c","Ptpn4","Gm2016"
"14511","Celf6","Eif3l","Kctd8","3425401B19Rik","Asb2"
"14512","Abhd11","Slc10a7","Zfp575","Ckap4","Cox17"
"14513","Suv420h2","Acd","Cd3d","Mkrn3","Zbtb20"
"14514","Klk1b9","Slc12a2","Pnliprp2","Cmtr2","Inadl"
"14515","Crhbp","Mycn","Gm5414","5730559C18Rik","Klf5"
"14516","Klhdc8b","Dpep3","Tmem221","Cdc7","Tmem9"
"14517","Elp4","D930020B18Rik","Hist1h4c","Pfkfb1","Zscan21"
"14518","Zfp593","2610028H24Rik","Lmna","Rgs7bp","Ccl12"
"14519","Heatr6","Smarce1","D930015E06Rik","Gstm1","Tmem87a"
"14520","Lsm4","Krt2","Ccpg1","Ncoa7","Skil"
"14521","Myocd","Rnf139","Urah","Cndp2","Ranbp6"
"14522","Pou5f2","Ppargc1b","3300002I08Rik","Ptpn22","Nsmce4a"
"14523","Gxylt2","Crtc2","Hoxb4","Rhob","Tial1"
"14524","Epha6","2010315B03Rik","Kif18b","Retsat","4933427D06Rik"
"14525","Apol7b","Cx3cl1","Esam","Bcl11b","Fubp3"
"14526","Luzp2","Fbxw9","Trip11","Evi5","Gpr81"
"14527","Myrfl","Lrp11","Fam221a","Gm867","Acacb"
"14528","Cenpm","Vill","Nrgn","Sec31b","Stox1"
"14529","Ttc30a2","Atp2b2","Nt5dc3","Foxj3","Nlrp1a"
"14530","Slc2a13","Zdhhc23","1700001J03Rik","H2-Ob","Zwilch"
"14531","Tab1","Drg2","Rnf6","Ssb","Grina"
"14532","Cdk10","Cxcr3","Kif16b","Hspa1l","Mup20"
"14533","Vmn2r4","Prss22","Sez6","Cbr4","Cd1d1"
"14534","Ubr5","Rundc3b","Stoml3","Stk33","Jmjd8"
"14535","Pold1","Gsdmc3","Cnep1r1","Cd36","Aip"
"14536","Sftpb","Blnk","Lrba","Triobp","Eif2d"
"14537","Trim8","Hpse2","Stxbp3a","Arnt2","Sccpdh"
"14538","Sectm1b","Krt4","Apol9a","Slc30a9","Vps52"
"14539","Il5","Mas1","Nsa2","Tbc1d4","Cenpm"
"14540","Bmf","Gpr149","Coa4","Pof1b","Strn3"
"14541","Wnt2","Gm5141","Armc3","Mrpl33","Morf4l1"
"14542","Zfp652","Otoa","Phyhd1","Rufy3","Rplp1"
"14543","Lyzl4","Tsen54","Gimap1","Pnmal2","Ahnak"
"14544","Zc3h11a","Gpr165","Cstf2t","Tln1","Mterfd2"
"14545","PLA2G4B","Inpp4a","Slc45a2","Slc30a10","Trp53bp1"
"14546","Trhde","Polm","Gbp9","Aldh1l2","Mrpl19"
"14547","Rab42","Gsta4","Daf2","Synb","Edem2"
"14548","Tmem116","Lgi1","Satb1","Lepre1","Arc"
"14549","Cckar","Nlrp1a","M6pr","Abcc2","Klrb1b"
"14550","Nadsyn1","Map3k1","Wasf2","Olfr1393","C1qtnf6"
"14551","Foxr2","Spopl","Ppp1r7","G630090E17Rik","Pfn2"
"14552","Vmn2r37","Phf5a","Adamts8","Spin4","Retsat"
"14553","Olfr1444","Zmat5","Socs5","Serpinb1a","Sycp3"
"14554","Ube2d2b","Zfp518a","Ndnf","Yeats4","Heatr1"
"14555","Gm13128","Ppp6r1","Awat2","Irgm2","Alg1"
"14556","Ccl1","Krtap13","Agfg2","Tmem243","Pkmyt1"
"14557","Ttll9","Clec18a","Synb","Ccdc47","Neurl2"
"14558","Qrfpr","Lcat","Dnpep","Tacc2","Slc6a9"
"14559","Olfr497","Tymp","Mid2","Ppp1r18","Rasef"
"14560","Tex35","Spred1","Galnt10","Sntg2","Creb3"
"14561","Gm4305","Ccdc65","Mrc2","Tbc1d32","Metap2"
"14562","Zp3","Pde1a","Elmsan1","Sod2","Tmem151b"
"14563","Prok1","Phactr4","Spdya","Gm4461","Tmem25"
"14564","Gm4303","Ttc30a2","Cd38","Apoa1","Lgi2"
"14565","7530416G11Rik","Gm11569","Cant1","Lrrc63","Gopc"
"14566","Cyp3a59","4930579G24Rik","Abcc1","Meig1","Lias"
"14567","Trappc3l","Hist1h2bn","Azi2","Hist1h2ao","BC016423"
"14568","Cryba2","Pgbd1","2410002F23Rik","Slc25a41","Rep15"
"14569","Shd","Car11","Znhit1","Tff1","Cdh22"
"14570","Elmo1","Ormdl3","Psme4","Slc2a2","Usp47"
"14571","Rad51ap2","Zfp941","Hectd3","Daw1","Ggt5"
"14572","Fancd2","Tiparp","Bcs1l","Cldn18","Tll2"
"14573","Simc1","Eif4ebp3","Rab20","BC061212","Pls3"
"14574","Tns3","Mnd1","Prkx","Lhb","Tnfrsf14"
"14575","Stk17b","Trpc4ap","2810459M11Rik","Cylc1","l7Rn6"
"14576","Hmga2","Myo3b","Rnaseh2a","Gm382","Slc5a9"
"14577","BC051070","Zfp575","Tyw1","Klk1b4","Zfp111"
"14578","Pid1","Gorasp2","Unkl","Abcg8","Zfp71-rs1"
"14579","Zfp273","Olfr1392","Rint1","Tcl1","Atf7ip2"
"14580","Triap1","Spats2l","Efna1","Tenm1","Tox3"
"14581","Smad9","Slit2","Arl6ip5","Nudt16","Pqlc3"
"14582","Prrt3","Hpgd","Efs","Alkbh6","Fblim1"
"14583","Gria2","Sh2d4a","Bhlhe41","Rtn4ip1","Pcna"
"14584","Ebpl","Mfap1a","Mbd1","Dnajb5","Ggt1"
"14585","Ocstamp","Serpinb13","Frmd6","Eef1a1","Rhbdd2"
"14586","Rrbp1","Gm13242","Nagk","Zhx1","Ano2"
"14587","Ttc38","Ddx54","Athl1","Ogn","Pcbp1"
"14588","Zfp180","Hist1h2ai","Prss55","Gzmc","Dmd"
"14589","Izumo4","Crct1","Nell2","Entpd3","Insc"
"14590","Gas2","D630023F18Rik","Trove2","Rph3al","Lce1h"
"14591","Lsm14a","Vps29","Lipg","Vcpip1","Rbm24"
"14592","N4bp1","2210404O09Rik","Adh7","Ccnh","Gba2"
"14593","Clip4","Grpr","6330416G13Rik","Mroh8","Grcc10"
"14594","Rep15","Prrt3","Me3","Nipal2","Nap1l5"
"14595","Dock3","Pnliprp2","Pggt1b","Dis3l","Sez6l"
"14596","Krtap4-13","9130011E15Rik","Rnf38","Lemd3","Rfng"
"14597","Gemin6","Lyzl4","Pdcd10","Noa1","Cyp11a1"
"14598","Scube3","Glg1","Plxnd1","Fgf21","Ccdc85c"
"14599","Hexdc","Kprp","Zhx3","BC051019","Robo1"
"14600","Brsk2","Foxp4","Slc4a11","Itgal","Gsto1"
"14601","Dclre1b","Iqcc","Wbscr22","Stpg1","Gimap4"
"14602","Nr1h5","Dennd2c","Rpp30","Arxes1","1200014J11Rik"
"14603","Gdnf","Nbas","Junb","Taf3","Hr"
"14604","Cep89","P2ry4","Elp3","Polr1d","Klra10"
"14605","Plk1","Tbc1d7","Svep1","Galnt6","4833439L19Rik"
"14606","Adam3","Bhlha9","Slc16a4","Sirt5","Tmx1"
"14607","Msh3","Gm6484","Armc5","Erp27","Mrps6"
"14608","Igdcc3","Slc7a6os","Mpp5","Ndufs2","Atad1"
"14609","Git1","A330050F15Rik","Cdk2ap1","Uros","Stard6"
"14610","1700067K01Rik","PYURF","Fsbp","Pcsk4","Fgfr3"
"14611","Capn8","Mlana","Wdr59","Polr3gl","Fign"
"14612","Dnah7a","Letm2","Slc9a3r2","Mpc2","Pcnxl2"
"14613","Scrt1","Alg2","Dnajc22","Ttyh1","Rpusd2"
"14614","Rsc1a1","Usp46","Map3k3","Lingo4","Twist1"
"14615","Ehd2","Scarf1","Muc6","Rgs18","Klhl35"
"14616","Rbpjl","Zic2","Kcng2","Spink10","Camsap2"
"14617","Slc12a9","Kcnq1","Dsg4","Phkg1","Slfn8"
"14618","Srsf12","1700016D06Rik","Rapgef1","Tmcc2","Abhd6"
"14619","Mettl14","Pnma3","Kat6b","Fam134c","Pkn3"
"14620","Gldc","Aloxe3","Ccar1","Best3","Sos2"
"14621","Onecut2","Msantd2","Snx10","Psmd13","Rps6kb1"
"14622","Apom","B930041F14Rik","Cebpe","Sprr2b","Tsen54"
"14623","Clec3b","Ccdc163","Col15a1","Mroh6","Lama3"
"14624","Mbnl3","Nus1","Grk1","Dcaf12l2","Dctn5"
"14625","Blvra","Flad1","Sdc1","Tmem35","Zfp639"
"14626","Snrpb","Dis3l2","Fut1","Dnajc21","Gatad1"
"14627","Btd","Magi1","Cklf","Gpr150","Stard7"
"14628","Kcnk1","2510003E04Rik","Cbln4","Tecrl","Sptbn4"
"14629","Cxxc4","Zp2","Elac2","Hfe2","Awat1"
"14630","Npb","Acot2","Tpm1","Uqcrq","Sgol1"
"14631","Krt7","Apoc4","Gcdh","Bag1","Gm4767"
"14632","Cntrob","Rln3","Ddx23","Pigf","Gm10778"
"14633","Elf3","Slc17a6","Mkrn3","Rmdn3","Pdgfb"
"14634","Speer4a","5430401F13Rik","Nf2","Nell2","Trim6"
"14635","Mcm5","Ppp1r14d","Amigo2","Fam96a","Lats2"
"14636","Tceal6","Igfbpl1","Krt40","Gltscr1","Auh"
"14637","Ano3","Dspp","Xpo6","Icmt","Lpl"
"14638","Nf1","Olfr10","Lilra6","Gm5113","Phf20l1"
"14639","Evc2","1700017N19Rik","Fmo5","Dpf2","Morc1"
"14640","Tlx2","Htr6","Gstm2","Thtpa","5830411N06Rik"
"14641","Scd4","Slc39a5","Eps15l1","Zfp36","Ptbp1"
"14642","Smg7","Cd70","Ddx41","Zdhhc21","Mtss1l"
"14643","Swap70","Olfr743","Dpagt1","Tma16","Tcp11"
"14644","Hey1","Acbd7","Ogfod3","Etnk2","Spink3"
"14645","Polr2j","Nobox","Casp8","Hand2","Slc16a4"
"14646","Kazald1","Chrm5","Anp32a","Gpihbp1","1700029F12Rik"
"14647","Inip","Gm15319","Taf13","Slc25a34","Asb15"
"14648","Alkbh6","Nt5c1b","Ano3","Wdr17","Cd300lg"
"14649","Rnf217","Trpm5","Ahcyl1","Mmp27","Tmem9b"
"14650","Etnppl","Slc35f4","Gucd1","Egln2","Rspo4"
"14651","Ctps2","Ttc22","AA987161","Rlf","Ldhc"
"14652","Mtus2","Nlrc5","Gm216","Mfsd3","Amigo3"
"14653","Ttll2","Tox3","Marveld1","Obsl1","Gm15448"
"14654","Il11ra1","Col4a6","Klhl7","Dapk3","Cma1"
"14655","Tmem194","Depdc5","Ublcp1","Rhox4c","Wdr18"
"14656","Zfp13","Caprin2","Ptpre","Pde3a","Ccdc3"
"14657","Dnttip2","Ngef","Rasip1","Adal","Arrdc3"
"14658","Serf1","Lrrc4c","Tmem53","Psph","Eif2b4"
"14659","Chrnb3","Suv420h2","Golga1","Fam151b","Zfp932"
"14660","Phf10","Hsf4","Loxhd1","Met","Chst8"
"14661","Msl1","Kcnk2","Mrps11","Zfp180","Tmem190"
"14662","Stk36","Taf15","Lyrm2","Cst7","Fam180a"
"14663","Slc29a4","Slc39a11","Cacng6","Hpdl","Orc2"
"14664","Pfas","Vegfc","Pias3","Trappc5","Rnf34"
"14665","Uts2r","Kcnk10","Abi1","Agpat4","Tat"
"14666","Armcx1","Ush1c","Mapk10","Purb","Sox14"
"14667","Cox4i2","Ppp2ca","Slc13a2","AW112010","Magoh"
"14668","Znrd1","Nol9","Pcdh12","Mrpl15","Amica1"
"14669","4932414N04Rik","Atp8b2","Sesn2","Zfp518a","Stmn3"
"14670","Zfp518b","Lrrc23","Med13l","Ubiad1","Por"
"14671","A730017C20Rik","Prkag2","Lyzl4","Ppm1m","Ccdc176"
"14672","Scn11a","Pdcd2l","Lrrc10b","Npnt","Atg9a"
"14673","Stx1a","Prr9","Gadd45g","Khdc1c","Acad11"
"14674","Fntb","Gm4767","Neto2","ENSMUSG00000064363","Ccl21a"
"14675","Tpgs1","Gm10778","Mest","Klra1","Fos"
"14676","Apol7a","Ano8","Ppp1r35","Vdac2","Klf4"
"14677","Prkab1","Cyp2f2","Pigu","Nradd","Slc6a6"
"14678","1810055G02Rik","Ttll8","Ace","Dkkl1","Tspan9"
"14679","Cfi","I830012O16Rik","Opn3","Btnl10","Itm2c"
"14680","Wdr89","Lhx5","Ears2","Wrap73","AI464131"
"14681","Yae1d1","Gm11564","Kcne2","C330021F23Rik","Lrfn4"
"14682","Tnpo3","Rell1","Rnf5","Napg","Ddo"
"14683","Fam171a1","Ptrh1","Gpr98","Zfp566","Sptlc2"
"14684","Rpgr","Ltv1","Ubxn1","Tuba4a","Lgals4"
"14685","Lrch2","Clic6","Zfyve26","Psmb10","Izumo1"
"14686","Stard3nl","Rpl19","Gpr61","Tshz1","Ccdc89"
"14687","Il22","Cc2d2a","Krt16","Arrdc1","Myh14"
"14688","Wdr27","Krt24","Skint11","E130309D14Rik","Hspb11"
"14689","Pabpc5","Klhl38","Krtap19-5","Uaca","Rab25"
"14690","Hapln2","Ccdc130","Fbxo15","Samd14","Nabp2"
"14691","Psg19","Cdh26","Rab12","Cnnm1","Map3k4"
"14692","Tmco3","Spryd3","Kctd9","Plp1","L3mbtl3"
"14693","Nme4","Mrpl14","Hrh2","Slc18a1","Pip5k1b"
"14694","Ndnf","2610528J11Rik","Dhrs4","Arhgap15","Klk11"
"14695","Cyp24a1","Gjd4","Sik2","Zfp72","Zc3hc1"
"14696","Hmbox1","Zfp558","Cct6b","Ppp6c","Tmem30b"
"14697","Cd164l2","Rsad1","Ddx54","Nnat","Pld5"
"14698","Zfp708","Ptpdc1","Atg14","Nudt19","Psmd2"
